instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
259e2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e2.vitaltable	Kimura Taro (CC0)	3.484	0.830	-4.312	0.003	0.288	1.877	0.005
303 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/303.vitaltable	WaveEdit Online (CC0)	3.288	0.595	-3.260	0.129	0.345	3.835	0.009
80_s Christmas WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/80_s Christmas.vital	other	4.973	0.399	-3.686	0.000	0.000	1.931	0.005
A4TriAMLPF WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AnalogFour/A4TriAMLPF.vitaltable	Kimura Taro (CC0)	13.554	0.999	-1.604	0.004	0.085	2.936	0.010
ADPR - Low FMT Yoi WT.xrni	additive and organ	/home/meneses/.local/share/vital/Growl 2 - Talking Yoi/Presets/ADPR - Low FMT Yoi.vital	user/Discord presets (third-party)	4.757	0.496	-3.820	0.002	0.011	2.990	0.003
ALPHA_2_ WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ALPHA_2_.vitaltable	WaveEdit Online (CC0)	3.265	0.453	-2.399	0.078	0.416	2.038	0.023
AM_SINE WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AM_SINE.vitaltable	WaveEdit Online (CC0)	4.500	0.500	-2.310	0.000	0.000	2.223	0.035
Add Bell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Bell.vitaltable	Kimura Taro (CC0)	2.508	0.642	-4.611	0.001	0.457	2.452	0.006
Add Synth1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth1.vitaltable	Kimura Taro (CC0)	12.309	0.889	-2.734	0.001	0.082	2.299	0.013
Add Synth2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth2.vitaltable	Kimura Taro (CC0)	2.898	0.586	-5.091	0.003	0.148	2.184	0.003
Add Synth2 Walsh IDY WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth2 Walsh IDY.vitaltable	Kimura Taro (CC0)	8.021	0.586	-2.456	0.007	0.331	2.851	0.007
Add Synth5 IcarusBell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth5 IcarusBell.vitaltable	Kimura Taro (CC0)	2.038	0.615	-3.799	0.005	0.512	1.826	0.003
Alien Tree Bells WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Alien Tree Bells.vital	other	5.037	0.539	-4.476	0.003	0.357	2.356	0.002
Ambient Soundscape 4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Ambient Soundscape 4.vital	other	3.784	0.686	-3.890	0.000	0.305	2.330	0.005
Artificial Keys WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Artificial Keys.vital	other	2.731	0.837	-3.228	0.008	0.358	2.072	0.003
Audacity DrawSaw WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/Audacity DrawSaw.vitaltable	Kimura Taro (CC0)	7.996	0.717	-1.680	0.018	0.471	2.192	0.008
Audacity Wave Harm WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/Audacity Wave Harm.vitaltable	Kimura Taro (CC0)	4.017	0.996	-4.165	0.003	0.000	2.024	0.003
BANK_B WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BANK_B.vitaltable	WaveEdit Online (CC0)	3.024	0.730	-3.298	0.094	0.491	1.687	0.020
BRAIDS02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS02.vitaltable	WaveEdit Online (CC0)	3.121	0.591	-3.019	0.096	0.304	2.200	0.044
BRAIDS04 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS04.vitaltable	WaveEdit Online (CC0)	3.177	0.517	-2.960	0.138	0.148	2.036	0.052
BS Dashstar WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/BS Dashstar.vital	other	4.287	0.601	-2.106	0.048	0.350	2.212	0.002
Bass funky WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Bass funky.vital	user/Discord presets (third-party)	4.770	0.782	-3.454	0.005	0.501	2.150	0.008
BassTables 05 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 05.wav	BassTables (free use license)	6.492	0.693	-2.228	0.012	0.514	2.184	0.010
BassTables 06 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 06.wav	BassTables (free use license)	7.750	0.772	-1.992	0.019	0.445	2.061	0.010
BassTables 08 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 08.wav	BassTables (free use license)	7.871	0.693	-1.625	0.057	0.514	2.371	0.017
BassTables 14 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 14.wav	BassTables (free use license)	9.984	0.705	-1.748	0.053	0.383	2.381	0.013
BassTables 15 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 15.wav	BassTables (free use license)	9.214	0.607	-1.928	0.030	0.211	1.854	0.014
BassTables 22 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 22.wav	BassTables (free use license)	7.991	0.696	-1.996	0.059	0.439	2.585	0.010
BassicGrime WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/BassicGrime.vital	other	4.105	0.510	-2.195	0.171	0.266	2.189	0.001
Bassment WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bassment.vital	other	5.621	0.820	-2.789	0.008	0.252	2.843	0.007
Bazille PD2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD2.vitaltable	Kimura Taro (CC0)	3.775	0.469	-4.264	0.012	0.155	2.354	0.004
Bazille PD3 Icarus Mod WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD3 Icarus Mod.vitaltable	Kimura Taro (CC0)	6.469	0.432	-2.990	0.020	0.075	2.261	0.008
Bazille PDFR1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PDFR1.vitaltable	Kimura Taro (CC0)	9.426	0.405	-2.505	0.088	0.166	2.569	0.005
Bells - Glitter WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bells - Glitter.vital	other	6.938	0.454	-2.876	0.059	0.010	2.427	0.006
Birds WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Birds.vital	other	9.068	0.718	-2.581	0.000	0.000	2.461	0.009
Bouncy synth WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Bouncy synth.vital	user/Discord presets (third-party)	4.264	0.669	-2.371	0.011	0.456	2.329	0.003
Breathe WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Breathe.vital	other	7.936	0.698	-3.327	0.004	0.003	2.503	0.002
Bug4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Icarus Bugs/Bug4.vitaltable	Kimura Taro (CC0)	2.185	0.716	-3.690	0.016	0.552	2.331	0.002
Bug5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Icarus Bugs/Bug5.vitaltable	Kimura Taro (CC0)	3.770	0.586	-3.237	0.020	0.173	2.036	0.006
CYBORG WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/CYBORG.vitaltable	WaveEdit Online (CC0)	6.196	0.514	-3.913	0.101	0.001	2.086	0.103
Chords Future Soul Stab WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalPresets/Presets/Chords Future Soul Stab.vital	user/Discord presets (third-party)	2.601	0.377	-4.447	0.027	0.000	2.284	0.002
Cinematic Horns WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Cinematic Horns.vital	other	3.978	0.519	-3.856	0.001	0.088	2.773	0.003
Circle VPS WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Vector Phase Modulation/Circle VPS.vitaltable	Kimura Taro (CC0)	4.521	0.632	-3.269	0.002	0.023	1.398	0.008
Crazy Riser 8 bars WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Crazy Riser 8 bars.vital	other	3.188	0.445	-3.512	0.010	0.318	2.098	0.004
DN CpxMod WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Digitone/DN CpxMod.vitaltable	Kimura Taro (CC0)	1.870	0.694	-3.643	0.003	0.488	2.118	0.002
DarkSynth5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AmaizingNoises DarkSynth/DarkSynth5.vitaltable	Kimura Taro (CC0)	5.969	0.789	-5.565	0.002	0.465	2.812	0.005
DarkSynth6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AmaizingNoises DarkSynth/DarkSynth6.vitaltable	Kimura Taro (CC0)	4.173	0.728	-5.541	0.001	0.165	2.644	0.003
Delay jump WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Delay jump.vital	user/Discord presets (third-party)	10.330	0.499	-1.870	0.022	0.088	2.430	0.008
Dusty Sharp WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Dusty Sharp.vital	other	2.948	0.554	-4.011	0.009	0.094	2.370	0.007
ESW Analog - ARP Pulse WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - ARP Pulse.wav	Echo Sound Works Core (free pack)	4.105	0.510	-2.195	0.171	0.266	2.189	0.001
ESW Analog - Circle PWM WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Circle PWM.wav	Echo Sound Works Core (free pack)	2.223	0.622	-3.684	0.004	0.426	2.586	0.001
ESW Analog - Moog Saw 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Moog Saw 02.wav	Echo Sound Works Core (free pack)	3.736	0.620	-2.198	0.011	0.416	1.622	0.002
ESW Analog - Prophet Saw WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Prophet Saw.wav	Echo Sound Works Core (free pack)	3.456	0.670	-2.123	0.083	0.472	2.706	0.001
ESW Analog - Russians WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Russians.wav	Echo Sound Works Core (free pack)	2.303	0.674	-3.829	0.000	0.558	1.748	0.003
ESW Analog - Ultra Saw WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Ultra Saw.wav	Echo Sound Works Core (free pack)	2.697	0.742	-2.598	0.052	0.532	2.600	0.002
ESW Basics - Saw Dual 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Dual 01.wav	Echo Sound Works Core (free pack)	4.693	0.623	-1.970	0.122	0.540	2.529	0.003
ESW Basics - Saw Dual 04 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Dual 04.wav	Echo Sound Works Core (free pack)	4.288	0.690	-1.837	0.023	0.385	2.841	0.005
ESW Basics - Saw Dual 05 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Dual 05.wav	Echo Sound Works Core (free pack)	4.582	0.571	-1.926	0.041	0.243	2.318	0.003
ESW Basics - Saw Morph 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Morph 02.wav	Echo Sound Works Core (free pack)	3.827	0.567	-2.044	0.147	0.481	2.728	0.005
ESW Basics - Saw Reece WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Reece.wav	Echo Sound Works Core (free pack)	4.452	0.716	-1.972	0.040	0.527	2.027	0.003
ESW Basics - Saw Squeeze WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Squeeze.wav	Echo Sound Works Core (free pack)	2.165	0.551	-3.322	0.062	0.387	2.398	0.002
ESW Basics - Square Morph 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Square Morph 01.wav	Echo Sound Works Core (free pack)	2.565	0.609	-2.030	0.061	0.406	1.930	0.002
ESW Chill - Topix WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Chill/ESW Chill - Topix.wav	Echo Sound Works Core (free pack)	3.432	0.346	-6.051	0.006	0.050	2.629	0.002
ESW Digital - Acid WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Acid.wav	Echo Sound Works Core (free pack)	5.661	0.738	-2.078	0.068	0.334	2.071	0.004
ESW Digital - Filter Sweep WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Filter Sweep.wav	Echo Sound Works Core (free pack)	6.533	0.685	-1.765	0.025	0.564	2.623	0.010
ESW Digital - Flavors WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Flavors.wav	Echo Sound Works Core (free pack)	10.642	0.767	-1.695	0.114	0.271	1.521	0.016
ESW Digital - Fluffy WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Fluffy.wav	Echo Sound Works Core (free pack)	3.842	0.490	-2.190	0.118	0.285	2.283	0.004
ESW Digital - Folded Saws WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Folded Saws.wav	Echo Sound Works Core (free pack)	3.701	0.575	-2.247	0.229	0.354	2.422	0.010
ESW Digital - Frion WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Frion.wav	Echo Sound Works Core (free pack)	11.001	0.622	-1.668	0.050	0.229	2.357	0.011
ESW Digital - Gemini WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Gemini.wav	Echo Sound Works Core (free pack)	5.023	0.607	-2.543	0.003	0.208	2.938	0.004
ESW Digital - Hex Code WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Hex Code .wav	Echo Sound Works Core (free pack)	6.975	0.441	-1.759	0.056	0.286	2.438	0.011
ESW Digital - I Dunno Know 2 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - I Dunno Know 2.wav	Echo Sound Works Core (free pack)	7.286	0.474	-2.117	0.016	0.080	2.298	0.007
ESW Digital - I Dunno Know WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - I Dunno Know.wav	Echo Sound Works Core (free pack)	6.569	0.463	-2.265	0.010	0.079	2.665	0.004
ESW Digital - Magix WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Magix.wav	Echo Sound Works Core (free pack)	2.236	0.560	-3.286	0.093	0.355	1.404	0.004
ESW Digital - Megatron WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Megatron.wav	Echo Sound Works Core (free pack)	4.041	0.740	-4.028	0.010	0.589	3.589	0.004
ESW Digital - Phase Spectra WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Phase Spectra.wav	Echo Sound Works Core (free pack)	3.591	0.609	-2.378	0.042	0.377	2.893	0.005
ESW Digital - Phase Spectra Wide WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Phase Spectra Wide.wav	Echo Sound Works Core (free pack)	3.508	0.607	-2.374	0.047	0.382	2.890	0.005
ESW Digital - Redish WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Redish.wav	Echo Sound Works Core (free pack)	2.764	0.782	-4.210	0.001	0.384	2.103	0.004
ESW Digital - Saw Square Sync WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Saw Square Sync.wav	Echo Sound Works Core (free pack)	4.679	0.612	-2.041	0.043	0.117	1.632	0.007
ESW Digital - Square Bendz WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Square Bendz.wav	Echo Sound Works Core (free pack)	7.885	0.708	-1.498	0.056	0.485	2.639	0.008
ESW Digital - Virgo WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Virgo.wav	Echo Sound Works Core (free pack)	6.414	0.512	-2.535	0.007	0.043	2.747	0.006
ESW Digital - Warm Tubes WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Warm Tubes.wav	Echo Sound Works Core (free pack)	5.167	1.000	-1.539	0.044	0.207	2.014	0.005
ESW Digitial - Danger WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digitial - Danger.wav	Echo Sound Works Core (free pack)	6.151	0.489	-4.094	0.001	0.070	2.634	0.007
ESW FM - Freaky WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Freaky.wav	Echo Sound Works Core (free pack)	9.829	0.626	-1.898	0.020	0.243	1.451	0.019
ESW FM - Grizzly WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Grizzly.wav	Echo Sound Works Core (free pack)	12.705	0.656	-1.407	0.072	0.306	1.746	0.010
ESW FM - Modal WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Modal.wav	Echo Sound Works Core (free pack)	4.975	0.825	-4.643	0.003	0.299	2.146	0.006
ESW FM - Sine Folds WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Sine Folds.wav	Echo Sound Works Core (free pack)	5.427	0.636	-3.027	0.008	0.232	2.670	0.012
ESW FM - Squealer 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Squealer 02.wav	Echo Sound Works Core (free pack)	8.345	0.605	-1.616	0.084	0.202	1.442	0.029
ESW Growl - V8 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - V8.wav	Echo Sound Works Core (free pack)	11.593	0.646	-1.380	0.039	0.353	2.469	0.020
ESW Metallic - Chime 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Chime 01.wav	Echo Sound Works Core (free pack)	3.057	0.452	-2.949	0.022	0.342	2.123	0.006
ESW Metallic - Fuzzy Bells WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Fuzzy Bells.wav	Echo Sound Works Core (free pack)	13.781	0.727	-1.028	0.041	0.534	2.407	0.021
ESW Metallic - Waves WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Waves.wav	Echo Sound Works Core (free pack)	6.321	0.723	-2.288	0.021	0.338	2.742	0.009
ESW One Shot - BS Grimey WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Grimey.wav	Echo Sound Works Core (free pack)	1.740	0.638	-3.264	0.028	0.530	1.923	0.002
ESW One Shot - BS Talking Digits WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Talking Digits.wav	Echo Sound Works Core (free pack)	6.644	0.571	-2.013	0.065	0.465	2.469	0.014
ESW One Shot - LD Hawking WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - LD Hawking.wav	Echo Sound Works Core (free pack)	4.482	0.553	-4.013	0.001	0.161	2.742	0.001
ESW Real - BR Trombone 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BR Trombone 01.wav	Echo Sound Works Core (free pack)	3.524	0.577	-5.652	0.001	0.033	2.584	0.003
ESW Real - BR Trumpeter 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BR Trumpeter 02.wav	Echo Sound Works Core (free pack)	2.904	0.383	-4.537	0.017	0.032	2.771	0.002
ESW Real - BS Upright WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BS Upright .wav	Echo Sound Works Core (free pack)	2.617	0.440	-5.499	0.001	0.213	2.288	0.000
ESW Real - Big Brass 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Big Brass 01.wav	Echo Sound Works Core (free pack)	6.090	0.548	-2.626	0.003	0.010	2.803	0.005
ESW Real - Big Brass 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Big Brass 02.wav	Echo Sound Works Core (free pack)	6.664	0.564	-2.374	0.008	0.078	2.890	0.006
ESW Real - Brass Brass Stab WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Brass Brass Stab.wav	Echo Sound Works Core (free pack)	1.998	0.410	-4.166	0.001	0.151	1.709	0.001
ESW Real - Clarinet WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Clarinet.wav	Echo Sound Works Core (free pack)	4.007	0.904	-3.336	0.001	0.256	2.165	0.000
ESW Real - KY Rhodes Classic WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - KY Rhodes Classic.wav	Echo Sound Works Core (free pack)	2.807	0.571	-5.405	0.000	0.218	2.283	0.002
ESW Real - Key Piano Like WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Key Piano Like.wav	Echo Sound Works Core (free pack)	4.149	0.640	-2.834	0.003	0.215	2.315	0.001
ESW Real - Organ 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Organ 01.wav	Echo Sound Works Core (free pack)	3.482	0.493	-3.123	0.012	0.311	2.520	0.003
ESW Real - Saxaphone WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Saxaphone.wav	Echo Sound Works Core (free pack)	3.987	0.384	-3.668	0.002	0.078	2.891	0.002
ESW Real - String Electric Stac WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String Electric Stac.wav	Echo Sound Works Core (free pack)	2.248	0.476	-3.861	0.057	0.333	2.152	0.001
